id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/1,EB1-001,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 1-20,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:18,http://hdl.handle.net/10125/32450,sound
+,123456789/1,EB1-002,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 1-20,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:07:16,http://hdl.handle.net/10125/32451,sound
+,123456789/1,EB1-003,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 21-40,"Berg, Esther","Stanley, Stalin","Berg, Esther",,"Berg, Esther",2013-08-05,2013-08-05,2013-08-05,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:01,http://hdl.handle.net/10125/32452,sound
+,123456789/1,EB1-004,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 41-75,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-08-07,2013-08-07,2013-08-07,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:09:21,http://hdl.handle.net/10125/32453,sound
+,123456789/1,EB1-005,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 76-115,"Berg, Esther","Andrew, Rosa","Berg, Esther",,"Berg, Esther",2013-08-07,2013-08-07,2013-08-07,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:08:49,http://hdl.handle.net/10125/32454,sound
+,123456789/1,EB1-006,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 116-150,"Berg, Esther","Sackarias, Sabino","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:10:23,http://hdl.handle.net/10125/32455,sound
+,123456789/1,EB1-007,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 21-50,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:05:19,http://hdl.handle.net/10125/32456,sound
+,123456789/1,EB1-008,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list example sentences 51-80,"Berg, Esther","Theodore, Paulina","Berg, Esther",,"Berg, Esther",2013-08-08,2013-08-08,2013-08-08,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:04:32,http://hdl.handle.net/10125/32457,sound
+,123456789/1,EB1-009,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 151-175,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-08-11,2013-08-11,2013-08-11,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:10:10,http://hdl.handle.net/10125/32458,sound
+,123456789/1,EB1-010,Hatohobeian||English,tox||eng,Hatohobeian,tox,,"Echang, Koror, Palau",PW,north=2.9594; east=131.8084,ABVD Word list 176-210,"Berg, Esther","Patris, Thomas","Berg, Esther",,"Berg, Esther",2013-08-11,2013-08-11,2013-08-11,lexicon,digital wav file recorded at 44.1 kHz/16 bit on Zoom H2N,00:12:03,http://hdl.handle.net/10125/32459,sound
